job,averageRuntime,totalCount,failedCount,flakyCount
infra_release.rss,0.00106987,113,2,1
infra_backend_crawler,0.00581081,22,0,0
infra_backend-merge-all-repo,0.60754526,3,1,1
infra_backend_jenkins_ci_cloudbess_com_filler,0.00853912,75,5,1
infra_mirroring,0.00340269,6,0,0
tools_maven-hpi-plugin,0.00221204,1,1,0
infra_patron_messages,0.00012738,20,1,0
infra_commit_history_generation,0.00434883,20,0,0
infra_checkout_stats,0.00015142,23,0,0
infra_repo.jenkins-ci.org_maven_index,0.00002126,100,0,0
jenkins_pom,0.00001546,3,3,0
infra_jenkins-infra,0.00176760,3,3,0
infra_pluginmirror,0.00051929,102,0,0
infra_backend_pull_request_greeter,0.00268714,75,1,0
infra_extension-indexer,0.03169413,20,20,0
jenkins_main_trunk,0.04300814,25,6,0
infra_census_push,0.00015530,20,0,0
infra_plugin_changes_report,0.01308628,3,3,0
jenkins_2.0,0.04111626,7,5,0
tmp-jenkins-20-jenkinsfile,0.00256066,12,9,2
jenkins_lts_branch,0.02328058,1,1,0
tools_maven-hpi-plugin-maven-2.x,0.00494022,1,1,0
infra_changelog_refresh,0.00057315,29,0,0
infra_github_repository_list,0.00403929,20,2,1
infra_statistics,0.04688929,3,0,0
infra_generate_monthly_json,0.00081134,20,0,0
infra_jenkins-ci.org_webcontents,0.00003723,20,0,0
