date,infra_statistics|infra_checkout_stats,infra_generate_monthly_json|infra_census_push
2016-01-10,,0.00105998
2016-01-11,0.04617523,0.00103020
2016-01-12,,0.00110229
2016-01-13,,0.00096756
2016-01-14,,0.00078582
2016-01-15,,0.00151501
2016-01-16,,0.00090457
2016-01-17,,0.00118002
2016-01-18,0.06444175,0.01005767
2016-01-19,,0.00087939
2016-01-20,,0.00125992
2016-01-21,,0.00088719
2016-01-22,,0.00103281
2016-01-23,,0.00110545
2016-01-24,,0.00111068
2016-01-25,0.05039006,0.00116666
2016-01-26,,0.00120034
2016-01-27,,0.00079325
2016-01-28,,0.00084765
2016-01-29,,0.00130821
